,precision,recall,f1-score,support
CD,0.757,0.684,0.719,497.0
HYP,0.599,0.576,0.588,262.0
MI,0.688,0.731,0.709,551.0
NORM,0.79,0.864,0.825,963.0
STTC,0.713,0.774,0.742,521.0
micro avg,0.733,0.762,0.747,2794.0
macro avg,0.71,0.726,0.717,2794.0
weighted avg,0.732,0.762,0.746,2794.0
samples avg,0.731,0.772,0.734,2794.0
