,precision,recall,f1-score,support
CD,0.851063829787234,0.5633802816901409,0.6779661016949153,497.0
HYP,0.725,0.3320610687022901,0.45549738219895286,262.0
MI,0.8171091445427728,0.5027223230490018,0.6224719101123595,551.0
NORM,0.7435897435897436,0.9335410176531672,0.8278084714548803,963.0
STTC,0.7695749440715883,0.6602687140115163,0.7107438016528925,521.0
micro avg,0.7720949263502455,0.6753758052970651,0.7205040091638029,2794.0
macro avg,0.7812675323982677,0.5983946810212233,0.6588975334228001,2794.0
weighted avg,0.7803082788065654,0.6753758052970651,0.7039185997933484,2794.0
samples avg,0.729041222788328,0.7084298286243631,0.7039877368270142,2794.0
