,precision,recall,f1-score,support
CD,0.771,0.292,0.423,497.0
HYP,0.524,0.374,0.437,262.0
MI,0.562,0.372,0.448,551.0
NORM,0.661,0.758,0.706,963.0
STTC,0.514,0.409,0.456,521.0
micro avg,0.616,0.498,0.551,2794.0
macro avg,0.607,0.441,0.494,2794.0
weighted avg,0.621,0.498,0.533,2794.0
samples avg,0.529,0.521,0.512,2794.0
