,precision,recall,f1-score,support
CD,0.558,0.435,0.489,497.0
HYP,0.604,0.366,0.456,262.0
MI,0.534,0.454,0.491,551.0
NORM,0.655,0.681,0.668,963.0
STTC,0.529,0.296,0.379,521.0
micro avg,0.595,0.491,0.538,2794.0
macro avg,0.576,0.446,0.496,2794.0
weighted avg,0.586,0.491,0.527,2794.0
samples avg,0.491,0.51,0.483,2794.0
