,precision,recall,f1-score,support
CD,0.712,0.622,0.664,497.0
HYP,0.495,0.58,0.534,262.0
MI,0.673,0.728,0.699,551.0
NORM,0.78,0.874,0.824,963.0
STTC,0.647,0.774,0.705,521.0
micro avg,0.693,0.754,0.722,2794.0
macro avg,0.661,0.716,0.685,2794.0
weighted avg,0.695,0.754,0.722,2794.0
samples avg,0.706,0.767,0.714,2794.0
