,precision,recall,f1-score,support
CD,0.6612377850162866,0.4084507042253521,0.5049751243781094,497.0
HYP,0.7,0.026717557251908396,0.051470588235294115,262.0
MI,0.6273764258555133,0.29945553539019965,0.4054054054054054,551.0
NORM,0.7675568743818002,0.8058151609553479,0.7862208713272544,963.0
STTC,0.6686217008797654,0.43761996161228406,0.5290023201856148,521.0
micro avg,0.7137681159420289,0.4935576234788833,0.5835801946677952,2794.0
macro avg,0.6849585572266731,0.39561178388701845,0.45541486190633557,2794.0
weighted avg,0.6962164516777071,0.4935576234788833,0.544229497930135,2794.0
samples avg,0.5722556739231126,0.5350470897020225,0.5397560599042767,2794.0
