,precision,recall,f1-score,support
CD,0.619,0.493,0.549,497.0
HYP,0.397,0.237,0.297,262.0
MI,0.586,0.457,0.514,551.0
NORM,0.757,0.83,0.792,963.0
STTC,0.616,0.601,0.608,521.0
micro avg,0.657,0.598,0.626,2794.0
macro avg,0.595,0.523,0.552,2794.0
weighted avg,0.639,0.598,0.613,2794.0
samples avg,0.609,0.621,0.599,2794.0
