,precision,recall,f1-score,support
CD,0.394,0.517,0.447,497.0
HYP,0.324,0.302,0.312,262.0
MI,0.433,0.454,0.443,551.0
NORM,0.633,0.637,0.635,963.0
STTC,0.393,0.455,0.422,521.0
micro avg,0.471,0.514,0.492,2794.0
macro avg,0.435,0.473,0.452,2794.0
weighted avg,0.477,0.514,0.493,2794.0
samples avg,0.491,0.519,0.486,2794.0
