,precision,recall,f1-score,support
CD,0.394,0.517,0.447,497.0
HYP,0.379,0.435,0.405,262.0
MI,0.433,0.454,0.443,551.0
NORM,0.633,0.637,0.635,963.0
STTC,0.393,0.455,0.422,521.0
micro avg,0.474,0.526,0.499,2794.0
macro avg,0.446,0.499,0.47,2794.0
weighted avg,0.482,0.526,0.502,2794.0
samples avg,0.493,0.528,0.491,2794.0
