,precision,recall,f1-score,support
CD,0.838,0.666,0.742,497.0
HYP,0.69,0.534,0.602,262.0
MI,0.761,0.753,0.757,551.0
NORM,0.817,0.907,0.859,963.0
STTC,0.789,0.747,0.767,521.0
micro avg,0.794,0.769,0.781,2794.0
macro avg,0.779,0.721,0.746,2794.0
weighted avg,0.793,0.769,0.777,2794.0
samples avg,0.778,0.788,0.768,2794.0
