,precision,recall,f1-score,support
CD,0.8681318681318682,0.635814889336016,0.7340301974448316,497.0
HYP,0.8372093023255814,0.2748091603053435,0.41379310344827586,262.0
MI,0.868421052631579,0.5989110707803993,0.7089151450053706,551.0
NORM,0.7711864406779662,0.944963655244029,0.8492767148856745,963.0
STTC,0.8116279069767441,0.6698656429942419,0.7339642481598317,521.0
micro avg,0.8102459016393443,0.7075876879026486,0.7554451662208636,2794.0
macro avg,0.8313153141487477,0.6248728837320059,0.6879958817887968,2794.0
weighted avg,0.8213389611949199,0.7075876879026486,0.7387572998774751,2794.0
samples avg,0.7723483094025012,0.7411224332252587,0.7425152738260659,2794.0
