,precision,recall,f1-score,support
CD,0.8620689655172413,0.5533199195171026,0.6740196078431372,497.0
HYP,0.7685185185185185,0.31679389312977096,0.4486486486486486,262.0
MI,0.828042328042328,0.5680580762250453,0.673842841765339,551.0
NORM,0.813780260707635,0.9075804776739356,0.8581246931762395,963.0
STTC,0.8004484304932735,0.6852207293666027,0.7383660806618407,521.0
micro avg,0.8180645161290323,0.6807444523979957,0.7431138894315297,2794.0
macro avg,0.8145717006557993,0.6061946191824914,0.6786003744190411,2794.0
weighted avg,0.8184522096684651,0.6807444523979957,0.7283049049428147,2794.0
samples avg,0.772425505635325,0.7200092635479388,0.7314343060058669,2794.0
