,precision,recall,f1-score,support
CD,0.742,0.447,0.558,497.0
HYP,0.641,0.477,0.547,262.0
MI,0.63,0.597,0.613,551.0
NORM,0.758,0.795,0.776,963.0
STTC,0.609,0.653,0.63,521.0
micro avg,0.69,0.638,0.663,2794.0
macro avg,0.676,0.594,0.625,2794.0
weighted avg,0.691,0.638,0.657,2794.0
samples avg,0.635,0.652,0.626,2794.0
